Sample	Order	Genus	Species	Info
Takakia_lepidozioides_1	Takakiales	Takakia	lepidozioides 	n.a.
Takakia_lepidozioides_2	Takakiales	Takakia	lepidozioides 	n.a.
Tetraphis_pellucida_1	Tetraphidales	Tetraphis	pellucida 	n.a.
Tetraphis_pellucida_2	Tetraphidales	Tetraphis	pellucida 	n.a.
Tetraphis_pellucida_3	Tetraphidales	Tetraphis	pellucida 	n.a.
Tetraphis_pellucida_4	Tetraphidales	Tetraphis	pellucida 	n.a.
Tetraphis_pellucida_5	Tetraphidales	Tetraphis	pellucida 	n.a.
Thelia_asprella_1	Hypnales	Thelia	asprella 	n.a.
Thelia_asprella_2	Hypnales	Thelia	asprella 	n.a.
Thelia_asprella_3	Hypnales	Thelia	asprella 	n.a.
Thelia_asprella_4	Hypnales	Thelia	asprella 	n.a.
Thelia_asprella_5	Hypnales	Thelia	asprella 	n.a.
Thelia_asprella_6	Hypnales	Thelia	asprella 	n.a.
Thelia_asprella_7	Hypnales	Thelia	asprella 	n.a.
Thuidium_delicatulum_1	Hypnales	Thuidium	delicatulum 	n.a.
Thuidium_delicatulum_2	Hypnales	Thuidium	delicatulum 	n.a.
Thuidium_delicatulum_3	Hypnales	Thuidium	delicatulum 	n.a.
Thuidium_delicatulum_4	Hypnales	Thuidium	delicatulum 	n.a.
Timmia_austriaca_1	Timmiales	Timmia	austriaca 	n.a.
Timmia_austriaca_2	Timmiales	Timmia	austriaca 	n.a.
Timmia_austriaca_3	Timmiales	Timmia	austriaca 	n.a.
Timmia_austriaca_4	Timmiales	Timmia	austriaca 	n.a.
Vinealobryum_vineale_1	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_10	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_11	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_12	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_14	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_15	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_2	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_20	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_5	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_6	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_7	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_8	Pottiales	Vinealobryum	vineale 	n.a.
Vinealobryum_vineale_9	Pottiales	Vinealobryum	vineale 	n.a.
